"sink","container_name","session_file_path"
"e.getSt ... login"")","onLaunch","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/common/main.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friend.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendAuth/friendAuth.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/friend/friendDetail/friendDetail.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAdd/deviceAdd.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuthAsk/deviceAuthAsk.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuthHandel/deviceAuthHandel.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuthTemp/deviceAuthTemp.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuthTempDetail/deviceAuthTempDetail.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAddBlue/deviceAddBlue.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceAuth/deviceAuth.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceTest/deviceTest.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceTest/deviceTest.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceBlueReset/deviceBlueReset.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceMFIC/deviceMFIC.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/info.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/webView/webView.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceMFFinger/deviceMFFinger.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/infoDetailNew/infoDetailNew.js"
"a.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/manage/video/videoDetail.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/info/infoDetail/infoDetail.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/manage/video/video.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/manage/video/video.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/agreement/agreement.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceUpdate/deviceUpdate.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/aboutUs/aboutUs.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceMFDetail/deviceMFDetail.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceMFPwd/deviceMFPwd.js"
"n.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/instruction/instruction.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/message/message.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/feedbackRecord/feedbackRecord.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/feedbackRecord/feedbackRecord.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/loginCode/loginCode.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/login.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/update/update.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/feedback/feedback.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/person.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/person.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/feedback/feedback.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/register/register.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/resetPwd/resetPwd.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/userInfo/userInfo.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/feedbackReversion/feedbackReversion.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/person/support/support.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/devicePwd/devicePwd.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/index.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/address/address.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/goodsDetail/goodsDetail.js"
"e.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/address/address.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/order/order.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/order/order.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/shop.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/shop.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/orderDetail/orderDetail.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/orderDetail/orderDetail.js"
"t.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/goodsSettlement/goodsSettlement.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/shop/goodsSettlement/goodsSettlement.js"
"e.getSt ... login"")","onLoad","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/index/deviceDetail/deviceDetail.js"
"t.getSt ... login"")","onShow","E:/MiniCAT_Linux_sync/dec_dir/wxda28f39391f7372d_dec/pages/record/record.js"
